month,total_price
2021-01,0.19
2021-02,0.18
2021-03,0.18
2021-04,0.19
2021-05,0.19
2021-06,0.22
2021-07,0.22
2021-08,0.23
2021-09,0.29
2021-10,0.32
2021-11,0.35
2021-12,0.41
2022-01,0.29
2022-02,0.26
2022-03,0.38
2022-04,0.3
2022-05,0.28
2022-06,0.32
2022-07,0.43
2022-08,0.6
2022-09,0.47
2022-10,0.25
2022-11,0.28
2022-12,0.37
2023-01,0.33
2023-02,0.34
2023-03,0.3
2023-04,0.29
2023-05,0.27
2023-06,0.28
2023-07,0.26
2023-08,0.28
2023-09,0.29
2023-10,0.28
2023-11,0.29
2023-12,0.26
2024-01,0.27
2024-02,0.26
2024-03,0.26
2024-04,0.25
2024-05,0.26
2024-06,0.26
2024-07,0.26
2024-08,0.27
2024-09,0.27
2024-10,0.29
2024-11,0.32
2024-12,0.31
2025-01,0.31
2025-02,0.32
2025-03,0.28
2025-04,0.26
2025-05,0.25
2025-06,0.25
2025-07,0.28
2025-08,0.26
2025-09,0.27
2025-10,0.25
2025-11,0.26
2025-12,0.25
2026-01,0.26
2026-02,0.24
2026-03,0.25
2026-04,0.29
