month,total_price
2021-01,0.68714
2021-02,0.65393
2021-03,0.65161
2021-04,0.68333
2021-05,0.74
2021-06,0.78233
2021-07,0.86903
2021-08,0.96
2021-09,1.17133
2021-10,1.50903
2021-11,1.388
2021-12,1.78355
2022-01,1.48677
2022-02,1.44964
2022-03,2.03452
2022-04,1.72333
2022-05,1.56968
2022-06,1.701
2022-07,2.48161
2022-08,3.25097
2022-09,2.787
2022-10,1.51258
2022-11,1.53367
2022-12,1.90387
2023-01,1.44
2023-02,1.31571
2023-03,1.20516
2023-04,1.18367
2023-05,1.05452
2023-06,1.04333
2023-07,1.02968
2023-08,1.06226
2023-09,1.10067
2023-10,1.17935
2023-11,1.192
2023-12,1.10032
2024-01,1.11774
2024-02,1.07172
2024-03,1.07871
2024-04,1.10767
2024-05,1.13452
2024-06,1.16967
2024-07,1.14452
2024-08,1.20613
2024-09,1.19567
2024-10,1.23677
2024-11,1.28133
2024-12,1.29548
2025-01,1.32613
2025-02,1.36536
2025-03,1.25484
2025-04,1.17933
2025-05,1.17129
2025-06,1.19067
2025-07,1.15258
2025-08,1.14129
2025-09,1.137
2025-10,1.13774
2025-11,1.12133
2025-12,1.08385
